fecha	idpro	provincia	indicador	valor
2020-02-24	A	Alicante	pcr_diario	6
2020-02-24	A	Alicante	pcr_media_movil_7dias	1.7
2020-02-24	A	Alicante	ia_7dias	0.64
2020-02-24	AB	Albacete	pcr_diario	0
2020-02-24	AB	Albacete	pcr_media_movil_7dias	0.1
2020-02-24	AB	Albacete	ia_7dias	0.26
2020-02-24	AL	Almería	pcr_diario	0
2020-02-24	AL	Almería	pcr_media_movil_7dias	0
2020-02-24	AL	Almería	ia_7dias	0
2020-02-24	AV	Ávila	pcr_diario	0
2020-02-24	AV	Ávila	pcr_media_movil_7dias	0.3
2020-02-24	AV	Ávila	ia_7dias	1.26
2020-02-24	B	Barcelona	pcr_diario	9
2020-02-24	B	Barcelona	pcr_media_movil_7dias	6.7
2020-02-24	B	Barcelona	ia_7dias	0.83
2020-02-24	BA	Badajoz	pcr_diario	0
2020-02-24	BA	Badajoz	pcr_media_movil_7dias	0
2020-02-24	BA	Badajoz	ia_7dias	0
2020-02-24	BI	Bizkaia	pcr_diario	2
2020-02-24	BI	Bizkaia	pcr_media_movil_7dias	1
2020-02-24	BI	Bizkaia	ia_7dias	0.61
2020-02-24	BU	Burgos	pcr_diario	0
2020-02-24	BU	Burgos	pcr_media_movil_7dias	0.6
2020-02-24	BU	Burgos	ia_7dias	1.12
2020-02-24	C	A Coruña	pcr_diario	0
2020-02-24	C	A Coruña	pcr_media_movil_7dias	0.3
2020-02-24	C	A Coruña	ia_7dias	0.18
2020-02-24	CA	Cádiz	pcr_diario	0
2020-02-24	CA	Cádiz	pcr_media_movil_7dias	0.1
2020-02-24	CA	Cádiz	ia_7dias	0.08
2020-02-24	CC	Cáceres	pcr_diario	0
2020-02-24	CC	Cáceres	pcr_media_movil_7dias	0.1
2020-02-24	CC	Cáceres	ia_7dias	0.26
2020-02-24	CE	Ceuta	pcr_diario	0
2020-02-24	CE	Ceuta	pcr_media_movil_7dias	0
2020-02-24	CE	Ceuta	ia_7dias	0
2020-02-24	CO	Córdoba	pcr_diario	0
2020-02-24	CO	Córdoba	pcr_media_movil_7dias	0
2020-02-24	CO	Córdoba	ia_7dias	0
2020-02-24	CR	Ciudad Real	pcr_diario	0
2020-02-24	CR	Ciudad Real	pcr_media_movil_7dias	0
2020-02-24	CR	Ciudad Real	ia_7dias	0
2020-02-24	CS	Castellón	pcr_diario	2
2020-02-24	CS	Castellón	pcr_media_movil_7dias	0.4
2020-02-24	CS	Castellón	ia_7dias	0.52
2020-02-24	CU	Cuenca	pcr_diario	0
2020-02-24	CU	Cuenca	pcr_media_movil_7dias	0
2020-02-24	CU	Cuenca	ia_7dias	0
2020-02-24	ES	España	pcr_diario	102
2020-02-24	ES	España	pcr_media_movil_7dias	53
2020-02-24	ES	España	ia_7dias	0.78
2020-02-24	GC	Las Palmas	pcr_diario	0
2020-02-24	GC	Las Palmas	pcr_media_movil_7dias	0.1
2020-02-24	GC	Las Palmas	ia_7dias	0.09
2020-02-24	GI	Girona	pcr_diario	0
2020-02-24	GI	Girona	pcr_media_movil_7dias	0.3
2020-02-24	GI	Girona	ia_7dias	0.26
2020-02-24	GR	Granada	pcr_diario	0
2020-02-24	GR	Granada	pcr_media_movil_7dias	0.4
2020-02-24	GR	Granada	ia_7dias	0.32
2020-02-24	GU	Guadalajara	pcr_diario	0
2020-02-24	GU	Guadalajara	pcr_media_movil_7dias	0
2020-02-24	GU	Guadalajara	ia_7dias	0
2020-02-24	H	Huelva	pcr_diario	1
2020-02-24	H	Huelva	pcr_media_movil_7dias	0.1
2020-02-24	H	Huelva	ia_7dias	0.19
2020-02-24	HU	Huesca	pcr_diario	0
2020-02-24	HU	Huesca	pcr_media_movil_7dias	0
2020-02-24	HU	Huesca	ia_7dias	0
2020-02-24	J	Jaén	pcr_diario	0
2020-02-24	J	Jaén	pcr_media_movil_7dias	0.1
2020-02-24	J	Jaén	ia_7dias	0.16
2020-02-24	L	Lleida	pcr_diario	0
2020-02-24	L	Lleida	pcr_media_movil_7dias	0
2020-02-24	L	Lleida	ia_7dias	0
2020-02-24	LE	León	pcr_diario	1
2020-02-24	LE	León	pcr_media_movil_7dias	0.4
2020-02-24	LE	León	ia_7dias	0.65
2020-02-24	LO	La Rioja	pcr_diario	2
2020-02-24	LO	La Rioja	pcr_media_movil_7dias	0.6
2020-02-24	LO	La Rioja	ia_7dias	1.27
2020-02-24	LU	Lugo	pcr_diario	0
2020-02-24	LU	Lugo	pcr_media_movil_7dias	0
2020-02-24	LU	Lugo	ia_7dias	0
2020-02-24	M	Madrid	pcr_diario	57
2020-02-24	M	Madrid	pcr_media_movil_7dias	29.6
2020-02-24	M	Madrid	ia_7dias	3.07
2020-02-24	MA	Málaga	pcr_diario	2
2020-02-24	MA	Málaga	pcr_media_movil_7dias	1.3
2020-02-24	MA	Málaga	ia_7dias	0.53
2020-02-24	ME	Melilla	pcr_diario	0
2020-02-24	ME	Melilla	pcr_media_movil_7dias	0
2020-02-24	ME	Melilla	ia_7dias	0
2020-02-24	MU	Murcia	pcr_diario	1
2020-02-24	MU	Murcia	pcr_media_movil_7dias	0.4
2020-02-24	MU	Murcia	ia_7dias	0.2
2020-02-24	"NA"	Navarra	pcr_diario	3
2020-02-24	"NA"	Navarra	pcr_media_movil_7dias	0.9
2020-02-24	"NA"	Navarra	ia_7dias	0.91
2020-02-24	O	Asturias	pcr_diario	0
2020-02-24	O	Asturias	pcr_media_movil_7dias	0.1
2020-02-24	O	Asturias	ia_7dias	0.1
2020-02-24	OR	Ourense	pcr_diario	1
2020-02-24	OR	Ourense	pcr_media_movil_7dias	0.7
2020-02-24	OR	Ourense	ia_7dias	1.63
2020-02-24	P	Palencia	pcr_diario	0
2020-02-24	P	Palencia	pcr_media_movil_7dias	0
2020-02-24	P	Palencia	ia_7dias	0
2020-02-24	PM	Baleares	pcr_diario	0
2020-02-24	PM	Baleares	pcr_media_movil_7dias	0
2020-02-24	PM	Baleares	ia_7dias	0
2020-02-24	PO	Pontevedra	pcr_diario	0
2020-02-24	PO	Pontevedra	pcr_media_movil_7dias	0
2020-02-24	PO	Pontevedra	ia_7dias	0
2020-02-24	S	Cantabria	pcr_diario	0
2020-02-24	S	Cantabria	pcr_media_movil_7dias	0.1
2020-02-24	S	Cantabria	ia_7dias	0.17
2020-02-24	SA	Salamanca	pcr_diario	0
2020-02-24	SA	Salamanca	pcr_media_movil_7dias	0
2020-02-24	SA	Salamanca	ia_7dias	0
2020-02-24	SE	Sevilla	pcr_diario	2
2020-02-24	SE	Sevilla	pcr_media_movil_7dias	0.6
2020-02-24	SE	Sevilla	ia_7dias	0.2
2020-02-24	SG	Segovia	pcr_diario	1
2020-02-24	SG	Segovia	pcr_media_movil_7dias	0.4
2020-02-24	SG	Segovia	ia_7dias	1.95
2020-02-24	SO	Soria	pcr_diario	0
2020-02-24	SO	Soria	pcr_media_movil_7dias	0
2020-02-24	SO	Soria	ia_7dias	0
2020-02-24	SS	Gipuzkoa	pcr_diario	0
2020-02-24	SS	Gipuzkoa	pcr_media_movil_7dias	0
2020-02-24	SS	Gipuzkoa	ia_7dias	0
2020-02-24	T	Tarragona	pcr_diario	0
2020-02-24	T	Tarragona	pcr_media_movil_7dias	0.1
2020-02-24	T	Tarragona	ia_7dias	0.12
2020-02-24	TE	Teruel	pcr_diario	0
2020-02-24	TE	Teruel	pcr_media_movil_7dias	0.1
2020-02-24	TE	Teruel	ia_7dias	0.75
2020-02-24	TF	Santa Cruz de Tenerife	pcr_diario	0
2020-02-24	TF	Santa Cruz de Tenerife	pcr_media_movil_7dias	0.6
2020-02-24	TF	Santa Cruz de Tenerife	ia_7dias	0.37
2020-02-24	TO	Toledo	pcr_diario	0
2020-02-24	TO	Toledo	pcr_media_movil_7dias	0
2020-02-24	TO	Toledo	ia_7dias	0
2020-02-24	V	Valencia	pcr_diario	5
2020-02-24	V	Valencia	pcr_media_movil_7dias	1.7
2020-02-24	V	Valencia	ia_7dias	0.47
2020-02-24	VA	Valladolid	pcr_diario	2
2020-02-24	VA	Valladolid	pcr_media_movil_7dias	0.4
2020-02-24	VA	Valladolid	ia_7dias	0.58
2020-02-24	VI	Álava	pcr_diario	4
2020-02-24	VI	Álava	pcr_media_movil_7dias	1.3
2020-02-24	VI	Álava	ia_7dias	2.73
2020-02-24	Z	Zaragoza	pcr_diario	1
2020-02-24	Z	Zaragoza	pcr_media_movil_7dias	1
2020-02-24	Z	Zaragoza	ia_7dias	0.72
2020-02-24	ZA	Zamora	pcr_diario	0
2020-02-24	ZA	Zamora	pcr_media_movil_7dias	0
2020-02-24	ZA	Zamora	ia_7dias	0
2020-02-25	A	Alicante	pcr_diario	1
2020-02-25	A	Alicante	pcr_media_movil_7dias	1.7
2020-02-25	A	Alicante	ia_7dias	0.64
2020-02-25	AB	Albacete	pcr_diario	0
2020-02-25	AB	Albacete	pcr_media_movil_7dias	0.1
2020-02-25	AB	Albacete	ia_7dias	0.26
2020-02-25	AL	Almería	pcr_diario	1
2020-02-25	AL	Almería	pcr_media_movil_7dias	0.1
2020-02-25	AL	Almería	ia_7dias	0.14
2020-02-25	AV	Ávila	pcr_diario	0
2020-02-25	AV	Ávila	pcr_media_movil_7dias	0.3
2020-02-25	AV	Ávila	ia_7dias	1.26
2020-02-25	B	Barcelona	pcr_diario	14
2020-02-25	B	Barcelona	pcr_media_movil_7dias	8.1
2020-02-25	B	Barcelona	ia_7dias	1.01
2020-02-25	BA	Badajoz	pcr_diario	1
2020-02-25	BA	Badajoz	pcr_media_movil_7dias	0.1
2020-02-25	BA	Badajoz	ia_7dias	0.15
2020-02-25	BI	Bizkaia	pcr_diario	2
2020-02-25	BI	Bizkaia	pcr_media_movil_7dias	1.3
2020-02-25	BI	Bizkaia	ia_7dias	0.79
2020-02-25	BU	Burgos	pcr_diario	1
2020-02-25	BU	Burgos	pcr_media_movil_7dias	0.7
2020-02-25	BU	Burgos	ia_7dias	1.41
2020-02-25	C	A Coruña	pcr_diario	0
2020-02-25	C	A Coruña	pcr_media_movil_7dias	0.3
2020-02-25	C	A Coruña	ia_7dias	0.18
2020-02-25	CA	Cádiz	pcr_diario	0
2020-02-25	CA	Cádiz	pcr_media_movil_7dias	0
